弓箭手;112;45;71;199;0;0;1;2000;0;50;50;30;100;0;0;18;15;500;1;0;1200;
守卫;112;45;71;199;0;0;1;2000;0;50;50;30;100;0;0;18;15;500;1;0;1500;
MainDoor;110;99;900;199;0;0;1;10000;0;50;50;0;0;0;0;15;1;1000;1;0;1000;
LeftWall;111;98;901;199;0;0;1;5000;0;80;100;0;0;0;0;15;1;1000;1;0;1000;
RightWall;111;98;902;199;0;0;1;5000;0;80;100;0;0;0;0;15;1;1000;1;0;1000;
CenterWall;111;98;903;199;0;0;1;5000;0;80;100;0;0;0;0;15;1;1000;1;0;1000;
弓箭护卫;112;45;71;199;0;0;1;2000;0;200;250;50;150;0;0;18;15;500;1;0;1200;
卫士;11;12;0;199;0;1;1;9999;0;300;300;200;300;0;0;50;200;1200;1;0;2300;
练功师;55;19;72;199;0;1;1;999999999;0;0;0;1;1;0;0;15;15;1200;1;0;2500;
帝国护卫;142;45;323;199;0;0;1;2000;0;200;250;50;150;0;0;18;15;500;1;0;1200;
巡逻弓箭护卫;142;45;71;199;0;0;1;2000;0;150;200;50;150;0;0;18;15;500;1;0;1200;
巡逻卫士;12;12;0;199;0;1;1;9999;0;300;300;200;300;0;0;50;200;1200;1;0;2300;
带刀护卫;11;24;2;199;0;1;1;9999;0;200;200;150;300;200;200;200;200;500;1;0;2000;
神龙护卫;11;24;2;199;0;1;1;9999;0;200;200;150;300;200;200;200;200;500;1;0;2000;
刀卫;81;12;0;10;0;0;500;800;0;15;18;24;36;0;0;15;17;900;1;0;2000;
鹰卫;104;45;71;10;0;0;500;1500;0;15;18;30;50;0;0;20;15;500;1;0;1500;
虎卫;100;19;72;10;0;0;250;1000;0;0;0;0;0;0;0;20;30;500;1;0;1000;
五毒兽1;156;156;255;100;1;1;1;99999999;0;99999999;99999999;7500;15000;0;0;255;255;100;1;0;400;
五毒兽2;156;156;300;200;1;1;1;99999999;0;99999999;99999999;10000;25000;0;0;255;255;100;1;0;300;
五毒兽3;156;156;350;300;1;1;1;99999999;0;99999999;99999999;15000;35000;0;0;255;255;100;1;0;200;
五毒兽4;156;156;400;400;1;1;1;99999999;0;99999999;99999999;25000;45000;0;0;255;255;100;1;0;100;
五毒兽5;156;156;450;500;1;1;1;99999999;0;99999999;99999999;35000;55000;0;0;255;255;100;1;0;50;
五毒兽6;140;54;272;62;1;0;1;500;0;60;50;50;110;0;0;20;30;100;1;0;300;
五毒兽7;141;55;273;72;1;0;1;550;0;65;55;55;115;0;0;20;30;100;1;0;300;
五毒兽8;81;55;273;82;1;0;1;600;0;70;60;60;120;0;0;20;30;100;1;0;300;
五毒兽9;140;54;274;82;1;0;1;650;0;75;65;65;125;0;0;20;30;100;1;0;300;
预留怪物7;141;55;275;92;1;0;1;700;0;80;70;70;130;0;0;20;30;100;1;0;300;
预留怪物7;81;55;275;102;1;0;1;750;0;85;75;75;135;0;0;20;30;100;1;0;300;
预留怪物7;81;19;40;100;1;100;1;500000;0;0;0;5000;5000;0;0;40;255;100;1;0;300;
预留怪物7;81;19;200;100;1;100;1;500000;0;0;0;5000;5000;0;0;40;255;100;1;0;300;
预留怪物7;81;19;40;100;1;100;1;500000;0;0;0;5000;5000;0;0;40;255;100;1;0;300;
预留怪物7;81;19;200;100;1;100;1;500000;0;0;0;5000;5000;0;0;40;255;100;1;0;300;
封印之柱;115;19;4990;30000;1;1;1;9999999;1;0;0;0;0;0;0;40;255;400;1;0;300;
上古·异形魔帝(BOSS);81;19;813;300;1;100;1;600000;0;0;0;2500;6000;0;0;40;255;400;1;0;300;
22;81;19;200;300;1;100;1;30000;3000;500;500;300000;350000;0;0;40;255;100;1;0;300;
白野猪;81;19;10;55;0;0;0;88888;0;0;0;0;250;0;0;30;150;400;1;0;300;
黑野猪;81;19;20;55;0;0;0;88888;0;0;0;0;250;0;0;30;150;400;1;0;300;
红野猪;81;19;30;55;0;0;0;88888;0;0;0;0;250;0;0;30;150;400;1;0;300;
上古·天劫神龙(BOSS);81;19;814;300;0;0;0;480000;0;3300;3300;2700;5500;0;0;30;150;400;1;0;300;
远古·野猪王(BOSS);81;19;50;75;0;0;0;1288888;0;50;100;1000;1500;0;0;20;150;400;1;0;300;
11;81;19;40;100;1;100;1;30000;3000;500;500;300000;350000;0;0;40;255;100;1;0;150;
幽灵破甲兵;81;19;60;75;0;0;0;88888;0;0;0;0;250;0;0;45;150;400;1;0;300;
幽灵刀卫;81;19;70;75;0;0;0;88888;0;0;0;0;250;0;0;45;150;400;1;0;300;
